Order Type,Min Period,Mean (bps),Std (bps),Median (bps),P5 (bps),P95 (bps),Q25 (bps),Q75 (bps)
TWAP Notional,All,0.93,30.54,0.39,-26.55,29.7,-4.44,6.09
TWAP Volume,All,1.3,30.52,0.46,-25.84,30.42,-4.31,6.24
BUY,0,-6.96,32.64,-2.53,-43.15,17.68,-10.27,2.07
BUY,1,-6.96,32.64,-2.53,-43.15,17.68,-10.27,2.07
BUY,2,-6.96,32.64,-2.53,-43.15,17.68,-10.27,2.07
BUY,3,-6.96,32.64,-2.53,-43.15,17.68,-10.27,2.07
BUY,4,-6.96,32.64,-2.53,-43.19,17.69,-10.26,2.07
BUY,5,-6.95,32.66,-2.54,-43.12,17.68,-10.25,2.06
BUY,6,-6.96,32.66,-2.53,-43.16,17.61,-10.27,2.06
BUY,7,-6.8,32.55,-2.47,-42.75,17.77,-10.17,2.11
BUY,8,-6.09,31.19,-2.14,-40.73,18.38,-9.37,2.36
BUY,9,-4.38,29.67,-1.56,-36.09,20.14,-8.21,3.11
BUY,10,-2.53,27.84,-0.94,-31.08,21.77,-7.12,4.07
BUY,11,-1.16,25.99,-0.21,-31.2,26.6,-7.81,6.56
BUY,12,1.13,23.97,0.56,-22.33,25.99,-4.63,6.14
SELL,0,8.8,35.0,3.51,-16.92,49.39,-1.59,12.87
SELL,1,8.8,35.0,3.51,-16.92,49.39,-1.59,12.87
SELL,2,8.8,35.0,3.51,-16.92,49.39,-1.59,12.87
SELL,3,8.8,35.0,3.51,-16.92,49.39,-1.59,12.87
SELL,4,8.8,34.99,3.51,-16.91,49.4,-1.59,12.87
SELL,5,8.81,35.03,3.52,-16.87,49.45,-1.59,12.87
SELL,6,8.81,35.05,3.51,-16.82,49.56,-1.6,12.86
SELL,7,8.63,34.8,3.43,-17.04,48.92,-1.67,12.68
SELL,8,7.95,34.12,3.13,-17.37,46.71,-1.8,11.98
SELL,9,6.51,31.79,2.62,-18.02,42.23,-2.11,10.6
SELL,10,4.93,29.22,1.97,-19.09,37.0,-2.7,9.28
SELL,11,3.78,27.48,1.29,-22.26,36.24,-4.48,9.18
SELL,12,1.12,23.95,0.56,-22.37,25.99,-4.63,6.15
